    519054      51301
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          1
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          1
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          1
         1          3          1
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          1
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          1
         1          3          1
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          3          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          1
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
